id,trip_id,item_id,quantity
1,1,coffee_bm,1
2,1,bananas,5
3,1,granola_bar_bm,1
4,1,spinach_bag_bm,1
5,1,salad_bag,1
6,1,tomato_cherry_bm,1
7,1,pizza,1
8,1,tortilla_espanola,1
9,1,pasta_sauce_jar,1
10,1,chorizo_sausage_bm,1
11,1,cheese_shredded,1
12,1,broccoli_frozen,1
13,1,carrots_baby,1
14,1,potato_chips,1
15,2,granola_bar_bm,1
16,2,chicken_breast,1
17,2,cheese_shredded,1
18,2,bananas,3
19,2,bell_pepper,1
20,2,avocado,2
21,2,grapes_red,1
22,2,tomato_cherry_bm,1
23,2,salad_bag,1
24,2,apple,4
25,2,rice,1
26,2,yogurt_cup,8
27,3,bananas,10
28,3,zucchini,1
29,3,salad_bag,1
30,3,carrots_sliced,1
31,3,cheese_tapas,1
32,3,cheese_shredded,1
33,3,coffee_merc,1
34,3,soup_crema_verdura,1
35,3,chicken_wings,1
36,3,albondigas,1
37,3,chicken_drumsticks,2
38,4,baguette,1
39,4,carrots,1
40,4,tomato_cherry_bm,5
41,4,shishito,1
42,4,salad_dressing,1
43,4,olive_oil,1
44,5,pasta_sauce_jar,1
45,5,salad_bag,1
46,5,ravioli,1
47,5,pizza,1
48,6,bananas,8
49,6,tomato_rama,1
50,6,cucumber,1
51,6,tortilla_espanola,1
52,6,ham_serrano,1
53,6,chicken_thigh,2
54,6,brussels_frozen,1
55,6,potato_chips,1
